iter	Passed	Remaining
0	1	148
1	2	143
2	4	144
3	5	140
4	7	149
5	10	157
6	12	166
7	14	170
8	17	174
9	20	181
10	22	184
11	24	181
12	26	179
13	28	173
14	30	171
15	32	168
16	32	160
17	34	156
18	35	153
19	37	149
20	38	145
21	39	141
22	41	139
23	42	135
24	43	131
25	44	127
26	46	124
27	47	121
28	48	117
29	49	114
30	49	110
31	50	107
32	51	104
33	52	102
34	53	100
35	54	97
36	55	95
37	56	92
38	57	90
39	58	87
40	59	85
41	59	82
42	60	79
43	61	77
44	61	75
45	62	73
46	63	71
47	64	69
48	65	67
49	65	65
50	66	64
51	67	62
52	68	60
53	68	58
54	69	56
55	70	55
56	70	53
57	71	51
58	72	50
59	73	48
60	74	47
61	74	45
62	75	44
63	76	43
64	77	41
65	78	40
66	79	38
67	80	37
68	80	36
69	81	34
70	82	33
71	83	32
72	84	31
73	85	29
74	85	28
75	86	27
76	87	26
77	88	24
78	89	23
79	90	22
80	90	21
81	92	20
82	92	19
83	93	17
84	94	16
85	95	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	105	1
99	106	0
